Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,nonsignificant
NNT-AS1,1.4026618902477601,-1.6708630797694604,0.5427254621603754,-3.0786524610774944,0.0020793910133243363,0.03946808839337555,True,False
RNU6-781P,22.037105800379447,-4.110018783234939,0.8931417175462083,-4.60175434927246,4.189471415066086e-06,0.0005190208630473611,True,False
MIR100HG,3.603564344657893,1.4951235069394995,0.42385193698012813,3.5274664959466655,0.0004195568551744435,0.013616005730456255,True,False
PRECSIT,2.407283616532481,-2.864162275662545,0.6546563938833255,-4.375061944591659,1.2139799954114679e-05,0.0011248123983913232,True,False
OVCH1-AS1,5.18652709398474,-2.6646666918450412,0.6972535768634802,-3.8216608422889076,0.00013255591354754774,0.006217619762495587,True,False
FSBP,7.023758169167914,1.2009674441345703,0.3362294532132325,3.571868652961024,0.00035444317422075487,0.012208387517187285,True,False
LINC00221,3.502727135655456,-3.763437467774089,1.006101894091724,-3.7406126455726416,0.00018357224966772403,0.007901371120894455,True,False
WDR5-DT,4.749933996399997,-5.440382081642437,1.7926769906965245,-3.034781006213862,0.0024071039946323,0.04374236047388569,True,False
MAFIP,18.28347768715006,1.1847912131976297,0.26328247856938775,4.500076190544445,6.792911047075553e-06,0.0007168785458347068,True,False
H2BC7,11.434882718102774,2.2233423591174697,0.42385945988891977,5.24547065600503,1.558838700073035e-07,4.11273610369269e-05,True,False
